&#160;	&#160;	Term	Count	Trend
		away	28	0,0.00068058074,0.00080428954,0.0005425936,0.001476378,0.0012383901,0,0.005484461,0.0013188262,0.0002749519
		casebook	28	0,0,0.001072386,0.0029842649,0,0,0.0022560633,0,0.0008242664,0.0010998076
		took	28	0,0.0015880218,0.001072386,0.0010851872,0.001230315,0.00061919505,0.0005640158,0,0.0008242664,0.0002749519
		amy	27	0,0.006125227,0,0,0,0,0,0,0,0
		left	27	0.00026695142,0.0013611615,0.000536193,0.0016277808,0,0,0,0.0018281536,0.0018133861,0
		ground	26	0,0.0004537205,0.000536193,0.0002712968,0.000492126,0.0012383901,0.0005640158,0,0.0008242664,0.0030244708
		hours	26	0,0.00068058074,0.001072386,0.0008138904,0.000984252,0.0030959751,0.0005640158,0,0.0009891196,0
		information	26	0,0.00022686025,0.0013404826,0.0008138904,0.000984252,0.0024767802,0.0016920473,0,0.0009891196,0
		investigation	26	0.00026695142,0.0022686026,0,0.0002712968,0.001230315,0,0.0016920473,0,0.00016485328,0.0013747594
		later	26	0,0.000907441,0.000536193,0.0002712968,0.000738189,0,0.0011280316,0.0018281536,0.0009891196,0.0019246632
		nasa	26	0.006406834,0,0,0,0,0,0,0,0.00032970656,0
		photograph	26	0.0034703685,0,0.00080428954,0.0008138904,0.000246063,0,0.0005640158,0,0,0.0013747594
		research	26	0.0034703685,0.00068058074,0.000536193,0.0002712968,0.000492126,0.0012383901,0.0005640158,0,0.00016485328,0.0002749519
		thought	26	0.00026695142,0.0004537205,0,0.0018990776,0.000984252,0.00061919505,0.0005640158,0.005484461,0.0011539729,0
		told	26	0,0.0011343013,0.0016085791,0,0.000492126,0,0.0005640158,0.0018281536,0.0018133861,0
		came	25	0.00026695142,0.0013611615,0.00080428954,0.0010851872,0.000492126,0,0.0011280316,0,0.0011539729,0
		got	25	0,0.000907441,0.000536193,0.0005425936,0.000492126,0.0012383901,0.0022560633,0.0018281536,0.0009891196,0.0005499038
		observed	25	0,0.00022686025,0.0002680965,0.0005425936,0.000246063,0.0024767802,0,0,0,0.0043992302
		point	25	0,0.00068058074,0,0.0005425936,0.000738189,0,0,0,0.0011539729,0.0027495187
		top	25	0.0016017085,0,0.00080428954,0.0008138904,0.000984252,0,0,0,0.0006594131,0.0013747594
		behind	24	0,0.00068058074,0.0002680965,0.0018990776,0.0017224409,0.0018575852,0,0.0018281536,0.00032970656,0
		come	24	0.00053390284,0.00068058074,0,0.0008138904,0.000246063,0,0.0005640158,0.0018281536,0.0004945598,0.0027495187
		described	24	0,0.0004537205,0.000536193,0,0.000984252,0,0.0016920473,0.005484461,0.0008242664,0.0013747594
		minutes	24	0.00026695142,0.0004537205,0.001072386,0.001356484,0.001230315,0.0012383901,0.0005640158,0.0018281536,0.0004945598,0
		people	24	0.0013347571,0.00068058074,0.001072386,0.0002712968,0.000738189,0,0.0005640158,0,0.0011539729,0
		received	24	0.0010678057,0,0.0018766756,0.0005425936,0.001230315,0,0.0011280316,0.0018281536,0.0004945598,0
		location	23	0.0013347571,0.0015880218,0.00080428954,0.0005425936,0.001230315,0,0,0,0.00016485328,0
		material	23	0,0.00022686025,0.0002680965,0.0010851872,0.000246063,0.0018575852,0.002820079,0,0.0006594131,0.0010998076
		shape	23	0.0018686599,0.00022686025,0.00080428954,0.0008138904,0.000246063,0.00061919505,0.0005640158,0,0,0.0016497113
		speed	23	0,0,0.00080428954,0.0005425936,0.000738189,0.0018575852,0,0,0.00016485328,0.0030244708
		west	23	0.00026695142,0,0.0002680965,0.0005425936,0.000984252,0.00061919505,0.0005640158,0.0036563072,0.0009891196,0.0013747594
		years	23	0.0021356114,0,0,0.0005425936,0.000738189,0.0012383901,0.0005640158,0.0036563072,0.0008242664,0
		evening	22	0.0010678057,0.000907441,0.0002680965,0.002712968,0.000246063,0,0.0011280316,0,0,0
		feet	22	0,0.00022686025,0.001072386,0.0010851872,0.000984252,0.0012383901,0.0011280316,0,0.0008242664,0
		large	22	0.00080085424,0.00068058074,0.0002680965,0.0002712968,0,0,0.0011280316,0,0.0011539729,0.0013747594
		looking	22	0,0.0011343013,0,0.001356484,0,0.00061919505,0,0.0018281536,0.0016485328,0
		river	22	0,0.00068058074,0.000536193,0,0.000492126,0,0,0,0.0023079459,0.0002749519
		sent	22	0,0,0.001072386,0.0016277808,0,0,0.0005640158,0,0.00016485328,0.0027495187
		unusual	22	0,0.00022686025,0.0002680965,0.0005425936,0.000738189,0,0.002820079,0,0,0.0027495187
		way	22	0.00026695142,0.0011343013,0.000536193,0.0018990776,0,0,0.0005640158,0,0.0009891196,0
		white	22	0.0010678057,0,0.0002680965,0.0008138904,0.000984252,0.0012383901,0.0039481106,0,0,0.0002749519
		confirmed	21	0,0.0004537205,0.0002680965,0,0.000492126,0,0,0,0.00016485328,0.004124278
		day	21	0,0.0011343013,0.000536193,0.0005425936,0.000246063,0,0.0011280316,0,0.0011539729,0.0005499038
		events	21	0.00026695142,0.002722323,0.00080428954,0,0.000246063,0.0012383901,0,0,0.00032970656,0
		happened	21	0.00026695142,0.00068058074,0.0002680965,0.0002712968,0.002214567,0,0.0005640158,0.0018281536,0.0006594131,0
		house	21	0.00053390284,0.0004537205,0,0.0002712968,0.002214567,0.00061919505,0.0022560633,0,0.00032970656,0
		side	21	0,0.000907441,0.0002680965,0.0018990776,0.000492126,0,0.0005640158,0,0.0009891196,0
		story	21	0,0.000907441,0.0002680965,0,0.000246063,0,0.0016920473,0,0.0019782393,0
		truck	21	0,0.001814882,0,0.0002712968,0.001230315,0,0.0005640158,0,0.0009891196,0
		witnesses	21	0,0.00068058074,0,0.0010851872,0.002706693,0,0.0005640158,0,0.00032970656,0
		began	20	0,0.0004537205,0.0018766756,0.0005425936,0.001476378,0.00061919505,0,0,0.00032970656,0
		chile	20	0,0,0,0,0,0.012383901,0,0,0,0
		copyright	20	0,0.0004537205,0,0.0016277808,0,0,0.0022560633,0,0.0006594131,0.0010998076
		experience	20	0.0010678057,0.00068058074,0.0002680965,0,0.000246063,0,0.0016920473,0.0018281536,0.00032970656,0.0013747594
