&#160;	&#160;	Term	Count	Trend
		ufo	137	0.004664723,0.005453554,0.005286767,0.0055316533,0.0033057851,0.0037209303
		object	101	0.002186589,0.0019996364,0.0065684076,0.003534112,0.0066115703,0.0065116277
		like	75	0.0042274054,0.002726777,0.002563281,0.0016902274,0,0.0037209303
		light	74	0.0011661807,0.0019996364,0.004645947,0.0024585126,0.009917355,0.0037209303
		time	72	0.0030612245,0.0030903472,0.0016020506,0.0029194837,0.0016528926,0.0037209303
		jim	60	0.00787172,0,0,0.00092194224,0,0
		objects	57	0.004373178,0.00036357026,0,0.003841426,0,0
		bruce	55	0,0,0,0.008451137,0,0
		just	54	0.0034985424,0.002544992,0.0012816405,0.0012292563,0,0
		craft	53	0.00058309035,0.0034539176,0.00064082025,0.0019975414,0,0.012093023
		water	46	0.0011661807,0.0005453554,0.005286767,0.00030731407,0,0
		feet	43	0.000728863,0.002726777,0.0017622557,0.00061462814,0,0.0074418606
		saw	41	0.001457726,0.0018178513,0.0008010253,0.0019975414,0,0.0027906976
		air	40	0.0011661807,0.0021814215,0.0012816405,0.0018438845,0,0
		lights	40	0.0017492712,0.0007271405,0.00016020506,0.0027658266,0,0.004651163
		later	38	0.000728863,0.001454281,0.002563281,0.00092194224,0.0016528926,0.0018604652
		incident	36	0.00014577259,0.0023632066,0.0019224607,0.00092194224,0.0049586776,0.0009302326
		night	36	0.00058309035,0.0010907107,0.0011214354,0.0027658266,0,0.0009302326
		pond	36	0,0,0.005767382,0,0,0
		close	35	0.002186589,0.0016360661,0,0.00092194224,0,0.004651163
		took	35	0.0017492712,0.0010907107,0.0011214354,0.00092194224,0.0049586776,0.0009302326
		base	33	0,0,0.00048061518,0.004302397,0.0033057851,0
		observed	33	0.00058309035,0.0007271405,0.0014418456,0.0016902274,0.0066115703,0.0009302326
		report	33	0.0008746356,0.0010907107,0.0011214354,0.0019975414,0.0016528926,0
		george	32	0.004373178,0.00018178513,0,0.00015365703,0,0
		went	32	0.0010204081,0.0016360661,0.0008010253,0.0016902274,0,0
		away	31	0.0013119533,0.0007271405,0.0012816405,0.00092194224,0,0.0037209303
		area	30	0.0013119533,0.001272496,0.0012816405,0.00061462814,0,0.0018604652
		men	30	0.0004373178,0.0007271405,0.00032041012,0.0032267978,0,0
		story	30	0.0016034986,0.00036357026,0.0012816405,0.0013829133,0,0
		taken	30	0.002186589,0.00036357026,0.0012816405,0.0007682852,0,0
		diameter	28	0.0017492712,0.0007271405,0.0011214354,0.00030731407,0.0016528926,0.0018604652
		lake	28	0.002915452,0.00018178513,0.00016020506,0.00092194224,0,0
		began	26	0.000728863,0.00036357026,0.00048061518,0.0024585126,0,0
		center	25	0.00029154518,0.0023632066,0.00032041012,0.00061462814,0,0.0037209303
		color	25	0.0018950438,0.00090892566,0.00032041012,0.00061462814,0,0.0009302326
		military	25	0.00014577259,0.002544992,0.0011214354,0.00046097112,0,0
