&#160;	&#160;	Term	Count	Trend
		ufo	210	0.0089982,0.024854574,0.01034295,0.00026553372,0.009541118,0.007231405,0.0046168054,0.0023757,0.0050485437,0.004954583
		object	184	0.00239952,0.002115283,0.010887316,0.00026553372,0.00045433894,0.011363637,0.002462296,0.0025453928,0.0015533981,0.011890999
		lights	144	0.00059988,0,0.0065323897,0.00026553372,0,0.0074380166,0.014773777,0.0013575428,0.00038834952,0.0061106523
		like	104	0.00239952,0,0.002721829,0.0050451406,0.0018173557,0.002892562,0.00307787,0.0042423215,0.0038834952,0.0021469858
		light	88	0.0017996401,0.0015864621,0.0005443658,0.003717472,0.0036347115,0.0033057851,0.001538935,0.0042423215,0.0015533981,0.0014863749
		said	83	0,0,0,0.0023898035,0.004543389,0.006198347,0.002154509,0.0015272357,0.0011650486,0.0024772915
		time	79	0.00239952,0.0010576415,0.0010887316,0.0031864047,0.0022716946,0.0035123967,0.002770083,0.0028847787,0.0019417476,0.0009909166
		use	70	0,0.025912216,0.0038105608,0.00026553372,0.00045433894,0.00020661157,0,0,0.0027184465,0.0006606111
		seen	67	0,0.00052882073,0.0038105608,0.00053106743,0.00045433894,0.0026859504,0.0052323793,0.0010181571,0.00077669905,0.0029727498
		night	59	0.00119976,0,0.0032661948,0.0023898035,0.0013630168,0.0016528926,0.0058479533,0.00084846426,0,0.0011560693
		craft	58	0.00059988,0.0031729243,0.005443658,0.00026553372,0.0022716946,0.0022727272,0.001538935,0.00084846426,0,0.0023121387
		just	58	0.00239952,0,0.0016330974,0.002920871,0.00045433894,0.0018595041,0.0033856572,0.0018666214,0.0011650486,0.00082576385
		white	57	0.00119976,0,0.0005443658,0.0010621349,0.0009086779,0.005165289,0.0018467221,0.0015272357,0,0.0013212222
		saw	56	0.00059988,0.00052882073,0.002721829,0.00053106743,0.0013630168,0.001446281,0.00307787,0.0018666214,0.00077669905,0.0023121387
		car	47	0.00239952,0.00052882073,0,0.00026553372,0,0.0020661156,0,0.00016969285,0.0023300971,0.0039636665
		sky	46	0,0,0,0.00026553372,0.00045433894,0.0012396694,0.004309018,0.00016969285,0,0.0037985137
		got	45	0,0,0.0016330974,0.0021242697,0.00045433894,0.0012396694,0.000615574,0.0027150856,0.00038834952,0.0013212222
		aircraft	43	0,0,0.0005443658,0,0.0009086779,0.002892562,0.0036934442,0.00084846426,0,0.0014863749
		sighting	43	0.00239952,0,0,0,0.00045433894,0.0010330578,0.00307787,0.00016969285,0.00077669905,0.0033030554
		casebook	41	0,0.015864622,0.0032661948,0,0,0,0.000307787,0,0.0015533981,0
		later	41	0.0029994,0.0010576415,0,0.0015932024,0.0022716946,0.0010330578,0.00092336105,0.0015272357,0.0011650486,0.0004954583
		took	41	0.0017996401,0,0,0.0023898035,0,0.0020661156,0.001231148,0.00118785,0.00077669905,0.0009909166
		red	39	0,0,0.0010887316,0.00026553372,0.0018173557,0.0010330578,0.001538935,0.002206007,0,0.0014863749
		spencer	39	0,0,0,0,0,0,0,0.0066180215,0,0
		material	38	0,0.01480698,0.0021774631,0,0,0.00020661157,0,0,0.0019417476,0
		point	38	0,0,0.0010887316,0.00053106743,0.005452067,0.0010330578,0.002154509,0.0003393857,0,0.0013212222
		years	38	0.00119976,0,0.0010887316,0.0015932024,0.00045433894,0.0012396694,0,0.00050907856,0.00038834952,0.002807597
		away	37	0.00119976,0,0.0032661948,0,0,0.0008264463,0.001538935,0.0013575428,0.0011650486,0.0014863749
		copyright	37	0,0.01480698,0.0021774631,0,0,0,0,0.00016969285,0.0015533981,0
		feet	37	0.0029994,0,0.0016330974,0.0013276687,0.00045433894,0.0018595041,0.000615574,0.00084846426,0.00038834952,0.0009909166
		told	37	0.0017996401,0,0.0010887316,0.001858736,0.00045433894,0.0012396694,0.000615574,0.0010181571,0.0023300971,0.0006606111
		way	37	0,0.00052882073,0.0021774631,0.00053106743,0.0022716946,0.00020661157,0,0.0015272357,0.0034951456,0.0009909166
		felt	36	0,0,0,0.0026553373,0,0.0010330578,0.001538935,0.00084846426,0.0031067962,0.0004954583
		janice	36	0,0,0,0,0,0,0,0,0,0.0059454995
		katie	36	0,0,0,0,0,0,0,0,0,0.0059454995
		owner	36	0,0.01480698,0.0021774631,0,0,0,0,0,0.0015533981,0
		area	35	0.00059988,0,0.0005443658,0,0.0018173557,0.002892562,0.000615574,0.0003393857,0,0.0018166804
		hair	35	0,0.00052882073,0,0.00053106743,0,0,0,0,0.012427185,0
		looked	35	0,0,0.0016330974,0.0026553373,0.0009086779,0.0010330578,0,0.00084846426,0.0027184465,0.0004954583
		strange	35	0.0029994,0,0.0021774631,0.0007966012,0,0.001446281,0,0.0020363142,0.0015533981,0
		big	33	0,0,0,0.0010621349,0,0.0006198347,0,0.0027150856,0.00038834952,0.0014863749
		case	33	0.0017996401,0,0.0005443658,0.00026553372,0.0018173557,0.0012396694,0,0.0010181571,0.0027184465,0.00082576385
		encounter	33	0.00239952,0.005817028,0.0005443658,0.00053106743,0,0.0008264463,0,0,0.0015533981,0.0011560693
		moving	33	0,0.00052882073,0.0021774631,0,0.00045433894,0.0016528926,0.001231148,0.0010181571,0.00038834952,0.0013212222
		air	32	0.00239952,0,0.002721829,0,0.00045433894,0.00041322314,0.002462296,0.00084846426,0,0.0011560693
		looking	32	0.00059988,0,0.0016330974,0.00053106743,0.0013630168,0.0016528926,0.000307787,0.0016969285,0.0011650486,0.00016515277
		minutes	32	0.00059988,0.00052882073,0.0005443658,0.001858736,0.0009086779,0.0006198347,0.00307787,0.00050907856,0.00038834952,0.0004954583
		thought	32	0.00059988,0,0.0010887316,0.001858736,0.00045433894,0.00041322314,0.001538935,0.0020363142,0.00077669905,0
		know	31	0,0,0.0005443658,0.001858736,0.00045433894,0.00041322314,0.0018467221,0.0013575428,0.00038834952,0.00082576385
		left	31	0.00059988,0,0.0021774631,0.0023898035,0,0,0.001538935,0.0018666214,0,0.00016515277
