&#160;	&#160;	Term	Count	Trend
		a320	12	0,0.012765957
		radar	10	0,0.010638298
		object	9	0.006134969,0.008510638
		pilot	9	0,0.009574468
		er	8	0,0.008510638
		control	7	0,0.0074468087
		glasgow	7	0,0.0074468087
		ufo	7	0.024539877,0.0031914893
		use	7	0.042944785,0
		aircraft	6	0,0.0063829785
		area	6	0,0.0063829785
		board	6	0,0.0063829785
		plane	6	0,0.0063829785
		balloon	5	0,0.005319149
		feet	5	0,0.005319149
		airbus	4	0,0.004255319
		airport	4	0,0.004255319
		beneath	4	0,0.004255319
		blue	4	0,0.004255319
		came	4	0,0.004255319
		casebook	4	0.024539877,0
		copyright	4	0.024539877,0
		glider	4	0,0.004255319
		got	4	0,0.004255319
		just	4	0,0.004255319
		material	4	0.024539877,0
		owner	4	0.024539877,0
		quite	4	0,0.004255319
		seconds	4	0,0.004255319
		traffic	4	0,0.004255319
		underneath	4	0,0.004255319
		went	4	0,0.004255319
		yellow	4	0,0.004255319
		airprox	3	0,0.0031914893
		close	3	0,0.0031914893
		considered	3	0,0.0031914893
		copyrighted	3	0.018404908,0
		crew	3	0,0.0031914893
		direction	3	0,0.0031914893
		directly	3	0,0.0031914893
		fair	3	0.018404908,0
		flying	3	0.006134969,0.0021276595
		likely	3	0,0.0031914893
		maybe	3	0,0.0031914893
		members	3	0.006134969,0.0021276595
		miss	3	0,0.0031914893
		pass	3	0,0.0031914893
		passed	3	0,0.0031914893
		report	3	0,0.0031914893
		said	3	0,0.0031914893
		talking	3	0,0.0031914893
		unidentified	3	0,0.0031914893
		unlikely	3	0,0.0031914893
		untraced	3	0,0.0031914893
		220	2	0,0.0021276595
		320	2	0,0.0021276595
		able	2	0,0.0021276595
		action	2	0,0.0021276595
		air	2	0,0.0021276595
		articles	2	0.012269938,0
		attributed	2	0.012269938,0
		authors	2	0,0.0021276595
		avoid	2	0,0.0021276595
		away	2	0,0.0021276595
		big	2	0,0.0021276595
		called	2	0,0.0021276595
		collision	2	0,0.0021276595
		colour	2	0,0.0021276595
		couple	2	0,0.0021276595
		crashing	2	0,0.0021276595
		description	2	0,0.0021276595
		felt	2	0,0.0021276595
		going	2	0,0.0021276595
		information	2	0,0.0021276595
		investigation	2	0,0.0021276595
		it’s	2	0,0.0021276595
		looked	2	0,0.0021276595
		microlight	2	0,0.0021276595
		miles	2	0,0.0021276595
		narrowly	2	0,0.0021276595
		negative	2	0,0.0021276595
		para	2	0,0.0021276595
		people	2	0,0.0021276595
		probably	2	0,0.0021276595
		replied	2	0,0.0021276595
		reports	2	0,0.0021276595
		right	2	0,0.0021276595
		risk	2	0,0.0021276595
		significant	2	0,0.0021276595
		stated	2	0,0.0021276595
		tell	2	0,0.0021276595
		time	2	0,0.0021276595
		told	2	0,0.0021276595
		unable	2	0,0.0021276595
		web	2	0.012269938,0
		we’re	2	0,0.0021276595
		we’ve	2	0,0.0021276595
		wing	2	0,0.0021276595
		yeah	2	0,0.0021276595
		107	1	0.006134969,0
		1246	1	0,0.0010638298
		2012pilot	1	0,0.0010638298
		3,500ft	1	0,0.0010638298
		3,500ft.drama	1	0,0.0010638298
		300	1	0,0.0010638298
		absence	1	0,0.0010638298
		activity	1	0,0.0010638298
		additionally	1	0,0.0010638298
		aerodrome	1	0,0.0010638298
		airline	1	0,0.0010638298
		airportthis	1	0,0.0010638298
		airspace	1	0,0.0010638298
		approach	1	0,0.0010638298
		article	1	0.006134969,0
		asked	1	0,0.0010638298
		assimilate	1	0,0.0010638298
		authorized	1	0.006134969,0
		available	1	0.006134969,0
		avoided	1	0,0.0010638298
		avoids	1	0,0.0010638298
		baffled	1	0,0.0010638298
		baillieston	1	0,0.0010638298
		believe	1	0.006134969,0
		below	1	0,0.0010638298
		beyond	1	0.006134969,0
		bigger	1	0,0.0010638298
		candidate	1	0,0.0010638298
		candidates	1	0,0.0010638298
		carrying	1	0,0.0010638298
		cause	1	0,0.0010638298
		chance	1	0,0.0010638298
		clearly	1	0,0.0010638298
		colliding	1	0,0.0010638298
		companies	1	0,0.0010638298
		comply	1	0.006134969,0
		conclusion	1	0,0.0010638298
		conclusive	1	0,0.0010638298
		conditions	1	0,0.0010638298
		conflicting	1	0,0.0010638298
		connecticutfair	1	0.006134969,0
		constitutes	1	0.006134969,0
		constrained	1	0,0.0010638298
		contained	1	0.006134969,0
		contains	1	0.006134969,0
		controller	1	0,0.0010638298
		controller.the	1	0,0.0010638298
		couldn	1	0,0.0010638298
		couldn’t	1	0,0.0010638298
		cpa	1	0,0.0010638298
		created	1	0.006134969,0
		creator.the	1	0.006134969,0
		dangerously	1	0,0.0010638298
		data	1	0,0.0010638298
		december	1	0,0.0010638298
		definitely	1	0,0.0010638298
		described	1	0,0.0010638298
		describes	1	0,0.0010638298
		detailed	1	0,0.0010638298
		determine	1	0,0.0010638298
		diagram	1	0,0.0010638298
		discounted	1	0,0.0010638298
		educational	1	0.006134969,0
		encounter.near	1	0,0.0010638298
		entry	1	0.006134969,0
		estimate	1	0,0.0010638298
		event	1	0,0.0010638298
		expressed	1	0.006134969,0
		extensive	1	0,0.0010638298
		file	1	0,0.0010638298
		fixed	1	0,0.0010638298
		fleeting	1	0,0.0010638298
		flew	1	0,0.0010638298
		fly	1	0,0.0010638298
		following	1	0,0.0010638298
		form	1	0,0.0010638298
		found.once	1	0,0.0010638298
		frontal	1	0,0.0010638298
		gave	1	0,0.0010638298
		gliders	1	0,0.0010638298
		glimpse	1	0,0.0010638298
		ground	1	0,0.0010638298
		half	1	0,0.0010638298
		hang	1	0,0.0010638298
		happened	1	0,0.0010638298
		height	1	0,0.0010638298
		high	1	0,0.0010638298
		hitting	1	0,0.0010638298
		identified	1	0,0.0010638298
		identify	1	0,0.0010638298
		images	1	0.006134969,0
		immediate	1	0,0.0010638298
		immediately	1	0.006134969,0
		incident	1	0,0.0010638298
		individual	1	0,0.0010638298
		initially	1	0,0.0010638298
		insufficient	1	0,0.0010638298
		intention	1	0,0.0010638298
		investigates	1	0,0.0010638298
		involved	1	0,0.0010638298
		it.both	1	0,0.0010638298
		it.the	1	0,0.0010638298
		lack	1	0,0.0010638298
		land	1	0,0.0010638298
		land.despite	1	0,0.0010638298
		lands	1	0,0.0010638298
		large	1	0,0.0010638298
		law	1	0.006134969,0
		like	1	0,0.0010638298
		listed	1	0.006134969,0
		low	1	0,0.0010638298
		man	1	0,0.0010638298
		marked	1	0,0.0010638298
		matched	1	0,0.0010638298
		message	1	0,0.0010638298
		meteorological	1	0,0.0010638298
		misses	1	0,0.0010638298
		modified	1	0.006134969,0
		moment	1	0,0.0010638298
		motor	1	0,0.0010638298
		near	1	0,0.0010638298
		necessarily	1	0.006134969,0
		notice	1	0.006134969,0
		noticed	1	0,0.0010638298
		notwithstanding	1	0.006134969,0
		number	1	0,0.0010638298
		object.the	1	0,0.0010638298
		obtain	1	0.006134969,0
		official	1	0,0.0010638298
		ok	1	0,0.0010638298
		operating	1	0,0.0010638298
		opinion	1	0,0.0010638298
		opinions	1	0.006134969,0
		original	1	0.006134969,0
		originator	1	0.006134969,0
		outside	1	0,0.0010638298
		outskirts	1	0,0.0010638298
		owners	1	0.006134969,0
		parascenders	1	0,0.0010638298
		passenger	1	0,0.0010638298
		permission	1	0.006134969,0
		pictured	1	0,0.0010638298
		pilots	1	0,0.0010638298
		planes	1	0,0.0010638298
		precluded	1	0,0.0010638298
		prepared	1	0,0.0010638298
		primary	1	0,0.0010638298
