&#160;	&#160;	Term	Count	Trend
		ufo	166	0.005121865,0.015966387,0.011847301,0.00673023,0.004765687,0.004015488,0.0028316271,0.006702413
		object	124	0.0030024727,0.0025210085,0.0017551557,0.001121705,0.004765687,0.005162771,0.0071879765,0.003686327
		time	90	0.0021193924,0.0025210085,0.0013163668,0.0039259675,0.0021180832,0.003872078,0.0052276193,0.0020107238
		air	84	0.0072412575,0.0033613446,0.00043878893,0.0028042626,0.003441885,0.0015775133,0.0006534524,0.0020107238
		saw	65	0.0021193924,0.00084033614,0.00043878893,0.008412788,0.0026476039,0.0018643339,0.0015247223,0.0020107238
		flying	62	0.0019427764,0.0016806723,0.00087757787,0.00448682,0.0026476039,0.002007744,0.0026138097,0.0010053619
		craft	59	0.0008830802,0.005882353,0.0030715226,0.00448682,0,0.002437975,0,0.00502681
		said	59	0.0038855528,0,0.00043878893,0.0039259675,0.0031771248,0.002007744,0.00021781746,0.0006702413
		seen	59	0.0024726244,0.004201681,0.00087757787,0.0028042626,0.0018533227,0.001434103,0.0021781747,0.0020107238
		force	51	0.004592017,0.0025210085,0.00043878893,0.0028042626,0.0021180832,0.0002868206,0.0010890873,0.00033512065
		later	46	0.0021193924,0.00084033614,0.00087757787,0.0016825575,0.0010590416,0.0012906927,0.0017425397,0.0023458444
		light	45	0.0010596962,0.00084033614,0.0021939448,0.0005608525,0.0018533227,0.0012906927,0.0019603572,0.0023458444
		report	45	0.00017661604,0.0016806723,0,0.0039259675,0.003441885,0.0017209236,0.00043563492,0.0026809652
		use	44	0,0.005882353,0.01228609,0,0,0.0002868206,0.0015247223,0
		came	42	0.0015895444,0.0016806723,0,0,0.0013238019,0.0012906927,0.0028316271,0.0013404826
		case	42	0.0010596962,0.0016806723,0.0017551557,0,0.0018533227,0.001434103,0.0013069048,0.0023458444
		feet	42	0.0010596962,0.0016806723,0.00087757787,0.0005608525,0.0021180832,0.0017209236,0.0017425397,0.0010053619
		sighting	42	0,0,0.0017551557,0.001121705,0.0013238019,0.0015775133,0.0023959922,0.0030160858
		like	40	0.00035323208,0.00084033614,0.0017551557,0.00224341,0.0023828435,0.0011472824,0.0017425397,0.0013404826
		mr	39	0.0014129283,0,0.0013163668,0.003365115,0,0.002437975,0.0010890873,0
		ufos	38	0.0019427764,0,0.0013163668,0.0028042626,0.0005295208,0.0017209236,0.00021781746,0.0013404826
		base	36	0.004415401,0.00084033614,0.00043878893,0.0005608525,0.0010590416,0.0002868206,0.00021781746,0.00033512065
		dr	35	0.0012363122,0.00084033614,0.00043878893,0.0028042626,0.0002647604,0.0021511544,0,0.0016756032
		objects	35	0.0035323207,0,0,0.0005608525,0.0013238019,0.0008604618,0.00021781746,0.0006702413
		witnesses	35	0.0005298481,0.0016806723,0.0021939448,0.0005608525,0.0005295208,0.0012906927,0.0010890873,0.0026809652
		gill	34	0,0,0,0,0,0,0,0.011394102
		just	34	0.0012363122,0,0.00087757787,0.001121705,0.0002647604,0.001003872,0.0026138097,0.0010053619
		told	34	0.0017661604,0.0016806723,0,0.0028042626,0.0013238019,0.0011472824,0.00043563492,0.0006702413
		navy	32	0.00017661604,0,0,0,0.0021180832,0.0001434103,0.0047919843,0
		ship	32	0,0,0,0,0.0002647604,0.0008604618,0.0052276193,0.00033512065
		strange	32	0.0010596962,0,0.0035103115,0,0.0005295208,0.0012906927,0.00043563492,0.0016756032
		men	31	0.0008830802,0,0.0026327337,0.001121705,0.0005295208,0.001003872,0.0019603572,0
		story	31	0.0014129283,0.00084033614,0.0026327337,0.0005608525,0.0002647604,0.0012906927,0.0006534524,0.0006702413
		disc	30	0.0005298481,0.00084033614,0,0.0061693774,0.0021180832,0.0008604618,0,0.00033512065
		lights	30	0.00017661604,0,0,0.001121705,0.0023828435,0.001003872,0.0021781747,0.00033512065
		saucer	30	0.0010596962,0,0.00043878893,0.0005608525,0.0015885624,0.0011472824,0.0010890873,0.0010053619
		casebook	29	0,0.0033613446,0.00833699,0,0,0.0002868206,0.00087126985,0
