&#160;	&#160;	Term	Count	Trend
		object	371	0.015803108,0.0036075036,0.013293944,0.011485452,0.009282399,0.0061443932,0.012741172,0.0020519835
		ufo	153	0.002331606,0.0036075036,0.002625964,0.0030627872,0.0073783174,0.0029185868,0.004368402,0.0034199727
		air	111	0.003626943,0.0021645022,0.008534384,0.0022970904,0.0015470665,0.0010752688,0.0027302513,0.00034199728
		light	104	0.005181347,0,0.0037748236,0.0019142419,0.00047602048,0.0012288786,0.006916636,0.0020519835
		reported	98	0.0015544042,0.0007215007,0.005416051,0.0019142419,0.0016660716,0.0035330262,0.002912268,0
		like	88	0.0033678757,0,0.0011488594,0,0.0022610973,0.0029185868,0.0038223516,0.0030779755
		area	86	0.002331606,0,0.0024618416,0.0007656968,0.0022610973,0.0030721966,0.0038223516,0
		force	83	0.0033678757,0.0021645022,0.0073855245,0.0022970904,0.0010710461,0.00030721966,0.0009100837,0
		saw	81	0.002331606,0.0014430014,0.003446578,0.0030627872,0.0014280614,0.0021505377,0.0020021843,0.0013679891
		time	81	0.004145078,0.005050505,0.002133596,0.0030627872,0.0017850768,0.0013824885,0.0012741173,0.0020519835
		feet	79	0.002072539,0.0028860029,0.0014771048,0.0007656968,0.0038081638,0.0015360983,0.002184201,0.00068399456
		case	75	0.00051813474,0.0021645022,0.002625964,0.0030627872,0.0028561228,0.000921659,0.0018201674,0.0020519835
		seen	73	0.0031088083,0.0007215007,0.002625964,0,0.0024991075,0.001843318,0.0016381507,0.00068399456
		car	67	0.0007772021,0.0021645022,0,0.00957121,0.00023801024,0.0024577572,0.0032763013,0
		report	66	0.002072539,0.0021645022,0.0014771048,0.0030627872,0.0021420922,0.0013824885,0.0016381507,0.00068399456
		sightings	64	0.0010362695,0,0.0014771048,0.0007656968,0,0.006605223,0.0010921005,0
		sighting	61	0.0054404144,0.0007215007,0.0029542097,0.0003828484,0.0011900512,0.00076804915,0.0003640335,0.0010259917
		ground	58	0.0018134716,0,0.0024618416,0,0.0019040819,0.0006144393,0.002912268,0
		reports	57	0.00025906737,0,0.002790087,0,0.00047602048,0.0049155145,0.0003640335,0.00034199728
		witnesses	56	0.00025906737,0,0.002625964,0.0015313936,0.0017850768,0.0021505377,0.00054605026,0.0010259917
		mothman	54	0,0,0,0,0,0.008294931,0,0
		said	54	0.002331606,0.0007215007,0.004267192,0.0015313936,0.0007140307,0.0004608295,0.000728067,0.00034199728
		lights	52	0.0031088083,0.0007215007,0.002133596,0.0011485452,0.0007140307,0.0010752688,0.001456134,0.00068399456
		craft	51	0.0007772021,0.005050505,0.0004923683,0,0.0014280614,0.00076804915,0.000728067,0.0058139535
		road	51	0.00051813474,0.0007215007,0,0.0038284839,0.002975128,0.00015360983,0.0018201674,0.00068399456
		began	49	0.00051813474,0.0043290043,0.0008206138,0.0003828484,0.0013090563,0.0010752688,0.0023662178,0.0013679891
		away	48	0.0012953368,0.0007215007,0.0003282455,0.0022970904,0.0013090563,0.000921659,0.002184201,0.0017099864
		left	47	0.00025906737,0,0.000656491,0.0011485452,0.00095204095,0.0013824885,0.0038223516,0.00034199728
		later	46	0.0007772021,0.0007215007,0.001312982,0.0022970904,0.0017850768,0.00076804915,0.00054605026,0.0017099864
		red	46	0.0062176166,0,0.0004923683,0,0.00035701535,0.0013824885,0.0012741173,0
		miles	45	0.0010362695,0.0014430014,0.0016412276,0.0019142419,0.00047602048,0.0010752688,0.001456134,0.0017099864
		just	44	0.0015544042,0.0021645022,0.0003282455,0.0007656968,0.0010710461,0.0021505377,0.0003640335,0.0020519835
		utah	44	0,0,0.006893156,0,0,0,0.0003640335,0
		new	42	0.00025906737,0.0021645022,0.001312982,0,0.0016660716,0.000921659,0.0010921005,0.0013679891
		nicap	41	0.0018134716,0.0007215007,0,0.0015313936,0.0020230869,0.0004608295,0.0016381507,0
		right	41	0.00051813474,0,0.000656491,0.0011485452,0.0011900512,0.0015360983,0.0020021843,0.00034199728
		story	41	0.00025906737,0.005050505,0.001312982,0.0003828484,0.0007140307,0.001843318,0.00054605026,0.0010259917
		flying	40	0.00051813474,0.0007215007,0.0016412276,0,0.0015470665,0.00076804915,0.0016381507,0
		bright	39	0.0025906735,0.0007215007,0.0031183325,0.0003828484,0,0.0006144393,0.000728067,0
		radar	39	0.0031088083,0.0007215007,0.0022977188,0,0.00011900512,0,0.0020021843,0
		strange	39	0.00025906737,0.0021645022,0.00016412276,0.0003828484,0.0017850768,0.0013824885,0.0012741173,0.00068399456
		appeared	38	0.00051813474,0.0021645022,0.00016412276,0.0011485452,0.0013090563,0.0006144393,0.0012741173,0.0023939807
		near	37	0.002072539,0,0.002133596,0.0003828484,0.0011900512,0.00030721966,0.00018201675,0.00068399456
		police	37	0.0010362695,0,0.00016412276,0.0011485452,0.0023801024,0.00076804915,0.000728067,0
		point	36	0.00025906737,0.0007215007,0.0008206138,0.0019142419,0.0005950256,0.0021505377,0.00054605026,0.00068399456
		told	36	0.0015544042,0.0021645022,0.000656491,0.0030627872,0.0013090563,0.0004608295,0.00018201675,0
		got	35	0.0025906735,0.0014430014,0.00016412276,0.0011485452,0,0.0004608295,0.0027302513,0.00034199728
		shaped	35	0.0015544042,0.0007215007,0,0,0.0014280614,0.0004608295,0.0020021843,0.00068399456
		1965	34	0,0,0,0,0.0040461738,0,0,0
		came	34	0.002072539,0,0.0014771048,0.0015313936,0.0005950256,0.00030721966,0.0010921005,0
		night	34	0.0018134716,0.0021645022,0.0009847366,0.0007656968,0.0008330358,0.00076804915,0.00054605026,0.00034199728
		end	33	0.0018134716,0,0.0009847366,0,0.00035701535,0.001996928,0.0003640335,0.00068399456
		men	33	0.00051813474,0,0.000656491,0.0011485452,0.0011900512,0.0010752688,0.000728067,0.0010259917
		day	32	0.0007772021,0,0.0009847366,0.0003828484,0.0010710461,0,0.00054605026,0.0034199727
		large	32	0,0,0,0,0.00047602048,0.0033794162,0.000728067,0.00068399456
		radio	32	0.002072539,0,0,0.0011485452,0.0014280614,0.00076804915,0.000728067,0
		base	31	0,0.0014430014,0.0024618416,0.0003828484,0.0007140307,0.00015360983,0.0010921005,0
		home	31	0.00051813474,0.0021645022,0.00016412276,0.0034456355,0.0008330358,0.000921659,0.00054605026,0
		incident	31	0.0010362695,0.0021645022,0.0003282455,0.0011485452,0.0014280614,0.00076804915,0.0003640335,0
		looking	31	0,0,0.0009847366,0,0.0008330358,0.00076804915,0.0020021843,0.00068399456
		witness	31	0,0,0.0009847366,0.0003828484,0.0014280614,0.0013824885,0,0.0010259917
		believe	30	0.002072539,0.0007215007,0.0003282455,0.0026799387,0.00047602048,0.0010752688,0.00018201675,0
		felt	30	0,0,0,0.0011485452,0,0.0004608295,0.002912268,0.0027359782
		flynn	30	0,0,0,0,0.0035701536,0,0,0
		las	30	0,0,0.004923683,0,0,0,0,0
		minutes	30	0.00051813474,0,0.0011488594,0.0011485452,0.0005950256,0.00076804915,0.0010921005,0.00068399456
		vegas	30	0,0,0.004923683,0,0,0,0,0
		white	30	0.0010362695,0.0028860029,0.001312982,0.0007656968,0.00011900512,0.00030721966,0.0016381507,0
		investigation	29	0.00025906737,0,0.0014771048,0.0015313936,0.0013090563,0.0004608295,0.00018201675,0
		noticed	29	0,0.0021645022,0.0003282455,0.0007656968,0.00035701535,0.00015360983,0.0027302513,0.0010259917
		occurred	29	0.00051813474,0,0,0.0007656968,0.0010710461,0.0015360983,0.00018201675,0.0017099864
		official	29	0.0015544042,0,0.0011488594,0,0.0017850768,0,0.00018201675,0
		took	29	0,0.0014430014,0.0008206138,0.0011485452,0.0011900512,0.00015360983,0.00054605026,0.0017099864
		went	29	0.0007772021,0.0014430014,0.000656491,0.0015313936,0.00011900512,0.0004608295,0.0010921005,0.0020519835
		east	28	0.002331606,0,0.0011488594,0.0019142419,0.00047602048,0.00015360983,0.0003640335,0
		field	28	0.0018134716,0.0007215007,0,0.0007656968,0.00011900512,0.00030721966,0.0025482345,0.00034199728
		michael	28	0,0,0,0,0,0,0.005096469,0
