&#160;	&#160;	Term	Count	Trend
		mysterious	1	0.0017241379,0
		nets	1	0,0.0029411765
		night	1	0,0.0029411765
		northeast	1	0,0.0029411765
		number	1	0,0.0029411765
		objects	1	0.0017241379,0
		observed	1	0.0017241379,0
		occurrence	1	0.0017241379,0
		older	1	0.0017241379,0
		oral	1	0,0.0029411765
		order	1	0.0017241379,0
		overhead	1	0.0017241379,0
		owners	1	0,0.0029411765
		packing	1	0,0.0029411765
		padeswood_ufo.shtml	1	0,0.0029411765
		pages	1	0,0.0029411765
		panic.there	1	0,0.0029411765
		peculiar	1	0.0017241379,0
		peer	1	0,0.0029411765
		poaching	1	0,0.0029411765
		popular	1	0.0017241379,0
		possible	1	0.0017241379,0
		possibly	1	0,0.0029411765
		previously	1	0,0.0029411765
		project	1	0,0.0029411765
		purplish	1	0,0.0029411765
		quite	1	0.0017241379,0
		ran	1	0,0.0029411765
		rapidly	1	0.0017241379,0
		real	1	0.0017241379,0
		red	1	0,0.0029411765
		refer	1	0.0017241379,0
		references:reference	1	0,0.0029411765
		reflective	1	0.0017241379,0
		relatives	1	0,0.0029411765
		reliability	1	0.0017241379,0
		reported	1	0.0017241379,0
		resembled	1	0.0017241379,0
		resuming	1	0.0017241379,0
		ret	1	0.0017241379,0
		returned	1	0,0.0029411765
		richard	1	0,0.0029411765
		risk	1	0,0.0029411765
		riveted	1	0.0017241379,0
		saucers	1	0.0017241379,0
		scorched	1	0,0.0029411765
		secrecy	1	0,0.0029411765
		seen	1	0,0.0029411765
		sent	1	0,0.0029411765
		shaped	1	0.0017241379,0
		shortly	1	0,0.0029411765
		sight	1	0.0017241379,0
		sign	1	0,0.0029411765
		silently	1	0,0.0029411765
		silvery	1	0.0017241379,0
		similar	1	0.0017241379,0
		skies	1	0.0017241379,0
		skipped	1	0.0017241379,0
		small	1	0,0.0029411765
		snares	1	0,0.0029411765
		solid	1	0.0017241379,0
		soon	1	0.0017241379,0
		source	1	0,0.0029411765
		south	1	0.0017241379,0
		speed	1	0.0017241379,0
		starved	1	0,0.0029411765
		strained	1	0.0017241379,0
		striking	1	0,0.0029411765
		suddenly	1	0,0.0029411765
		surface	1	0.0017241379,0
		surroundings	1	0.0017241379,0
		tense	1	0,0.0029411765
