&#160;	&#160;	Term	Count	Trend
		fair	29	0.0017491692,0,0,0.00029107844,0.0007085498,0.0009903791,0.00063384743,0.00055164803
		reed	29	0,0,0,0,0,0.0041029993,0,0
		remained	29	0,0,0,0.00029107844,0.00023618327,0,0.00021128249,0.0034478004
		years	29	0.0010495015,0.0011235955,0.0017881091,0.0005821569,0.00023618327,0.0011318619,0.00063384743,0.00027582402
		abduction	28	0.00069966767,0,0,0,0,0,0.00084512995,0.0027582403
		altitude	28	0,0,0,0.0007276961,0.0007085498,0,0.00042256498,0.002482416
		people	28	0.00069966767,0,0.0017881091,0.0010187746,0,0.00042444823,0.0012676949,0.00055164803
		shaped	28	0.0012244184,0,0.00089405454,0.00014553922,0.0007085498,0.00042444823,0.0012676949,0.0008274721
		copyrighted	27	0.0015742523,0,0,0.00043661767,0.0007085498,0.00084889645,0.00063384743,0.00041373604
		near	27	0.00069966767,0,0.00044702727,0.00043661767,0.00047236655,0.0009903791,0.0016902599,0.00027582402
		appeared	26	0.00034983383,0,0.00044702727,0.00029107844,0.00047236655,0.00042444823,0.00063384743,0.0017928561
		come	26	0.00052475074,0,0.0017881091,0.00043661767,0,0.0012733446,0.00063384743,0.00055164803
		information	26	0.00069966767,0.0011235955,0,0.0016009314,0.00047236655,0.0009903791,0.00021128249,0
		know	26	0.00034983383,0,0,0.00043661767,0.0040151156,0.00028296548,0.00021128249,0.00013791201
		sky	26	0.0008745846,0,0.0022351362,0.00043661767,0,0.00042444823,0.0016902599,0.00027582402
		told	26	0.00052475074,0,0.00044702727,0.0007276961,0.00047236655,0.00056593097,0.00042256498,0.001241208
		west	26	0.00017491692,0.0011235955,0,0.00087323535,0.0016532829,0.00028296548,0.00063384743,0.0008274721
		black	25	0.0008745846,0,0.0017881091,0.00043661767,0.00023618327,0.00084889645,0.0010564125,0.00013791201
		came	25	0.0008745846,0.0011235955,0.0022351362,0.0005821569,0,0.00084889645,0,0.00055164803
		close	25	0.00052475074,0,0.00089405454,0.00043661767,0.0011809164,0.00028296548,0.00021128249,0.001241208
		described	25	0.00034983383,0,0.0013410818,0.00043661767,0.00047236655,0.00028296548,0.0016902599,0.0006895601
		feet	25	0.00069966767,0,0.00044702727,0.00043661767,0.0018894662,0.00028296548,0.00042256498,0.0006895601
		got	25	0.00017491692,0,0.0013410818,0.00043661767,0.0009447331,0.0014148274,0.00063384743,0.00013791201
		looked	25	0.00052475074,0.002247191,0,0.0010187746,0.00023618327,0.00028296548,0.00042256498,0.0011032961
		observed	25	0.0010495015,0,0,0.0005821569,0.00047236655,0.0011318619,0.0010564125,0
		side	25	0.00017491692,0,0,0.00043661767,0.002598016,0.0009903791,0,0.00041373604
		thought	25	0.00034983383,0,0.00089405454,0.00087323535,0,0.00084889645,0,0.001241208
		unusual	25	0.00017491692,0,0.00044702727,0.0011643138,0.0014170996,0.00042444823,0.00042256498,0.00055164803
		went	25	0.0012244184,0,0.00044702727,0.00029107844,0.0007085498,0.0009903791,0,0.0006895601
		aw	24	0,0,0,0,0.0056683985,0,0,0
		event	24	0.0010495015,0.0033707866,0.00044702727,0.0005821569,0,0.00042444823,0.0012676949,0.00013791201
		minutes	24	0.00034983383,0,0,0.0010187746,0.0007085498,0.0007074137,0.00084512995,0.00041373604
		moving	24	0,0,0,0.0011643138,0,0.0012733446,0.00084512995,0.00041373604
		objects	24	0.002099003,0,0.00089405454,0.0007276961,0,0,0.00084512995,0.00013791201
		photos	24	0.00034983383,0,0,0.0005821569,0,0.0024052067,0.00021128249,0
		think	24	0.00017491692,0.002247191,0.0022351362,0.00087323535,0.0011809164,0.00014148274,0.00063384743,0.00013791201
		continued	23	0,0,0,0.0007276961,0.00023618327,0.00056593097,0.00021128249,0.0016549441
		direction	23	0,0,0,0.00043661767,0.00047236655,0.00028296548,0.00063384743,0.0017928561
		don	23	0.00034983383,0,0.00044702727,0.00014553922,0.0035427492,0,0.00084512995,0
		pilots	23	0.0012244184,0,0,0.00043661767,0.0011809164,0,0.00063384743,0.0006895601
		size	23	0.00017491692,0,0.00089405454,0.00029107844,0.00023618327,0.00056593097,0.00042256498,0.0015170322
		south	23	0.00017491692,0.0011235955,0,0.0007276961,0.0014170996,0.0009903791,0.00063384743,0
		strange	23	0.0010495015,0,0,0.00029107844,0,0.0011318619,0.0012676949,0.00013791201
		apparently	22	0.00034983383,0,0.00044702727,0.00029107844,0,0.00014148274,0.00063384743,0.0017928561
		children	22	0,0,0.008940545,0,0,0.00014148274,0,0.00013791201
		distance	22	0.00017491692,0,0.00089405454,0.0005821569,0.00047236655,0.00042444823,0.00084512995,0.0008274721
		home	22	0.00034983383,0,0,0.00087323535,0,0.0011318619,0.00084512995,0.00027582402
		man	22	0.0012244184,0.002247191,0.0017881091,0.00043661767,0,0.00028296548,0.00084512995,0
		morning	22	0,0.0011235955,0.00089405454,0.00014553922,0,0.00042444823,0,0.0020686802
		peter	22	0.00017491692,0,0,0,0,0.00014148274,0.00042256498,0.002482416
		says	22	0.00069966767,0,0,0.0005821569,0.0007085498,0.0007074137,0.00021128249,0.0006895601
		seeing	22	0.00052475074,0,0.00044702727,0.0007276961,0.00023618327,0.00028296548,0.0012676949,0.00055164803
		show	22	0.00034983383,0,0.00044702727,0.0014553922,0.00023618327,0.0009903791,0,0.00013791201
		articles	21	0.0015742523,0,0,0.00014553922,0.00047236655,0.0007074137,0.00042256498,0.00027582402
		end	21	0.00017491692,0,0,0.0005821569,0.0009447331,0.00042444823,0.00063384743,0.0008274721
		evidence	21	0.0010495015,0,0,0,0.00047236655,0.0007074137,0.00042256498,0.0008274721
		following	21	0.00017491692,0,0,0.0005821569,0.00047236655,0.0009903791,0,0.00096538407
		high	21	0.00034983383,0,0.00089405454,0.00087323535,0.0014170996,0,0.00021128249,0.00055164803
		incident	21	0.00069966767,0.0011235955,0,0.00014553922,0.0009447331,0.00042444823,0.00021128249,0.00096538407
		jonathan	21	0,0,0,0,0,0.0029711374,0,0
		miles	21	0,0.0033707866,0.00044702727,0.00043661767,0.00047236655,0.00028296548,0.00042256498,0.0011032961
		oechsler	21	0,0,0,0.0030563236,0,0,0,0
		tower	21	0,0,0,0.0005821569,0,0.00014148274,0.0033805198,0
		web	21	0.0015742523,0,0,0.00029107844,0.00047236655,0.00056593097,0.00042256498,0.00027582402
		animals	20	0,0,0,0,0,0.00028296548,0,0.002482416
		believe	20	0.0010495015,0.0011235955,0.00089405454,0.00029107844,0.00023618327,0.00042444823,0.00063384743,0.00027582402
		center	20	0,0,0.00044702727,0.0007276961,0.0018894662,0.00014148274,0.00084512995,0.00013791201
		crew	20	0.00052475074,0,0,0.0010187746,0.0007085498,0,0,0.00096538407
		disc	20	0.00017491692,0,0,0,0,0.00014148274,0,0.002482416
		earlier	20	0,0,0,0.00029107844,0.00023618327,0.00042444823,0.00021128249,0.0017928561
		mr	20	0.0010495015,0,0.0013410818,0.00014553922,0,0.0014148274,0,0
		okay	20	0,0,0,0,0.0044874824,0,0,0.00013791201
		photo	20	0.002099003,0,0,0.00087323535,0,0.00028296548,0,0
		pilot	20	0.00034983383,0,0,0.00043661767,0.0011809164,0.00014148274,0.00042256498,0.00096538407
		place	20	0.0010495015,0.0011235955,0.00044702727,0.00029107844,0.0007085498,0.00056593097,0.00063384743,0
		police	20	0,0,0.0013410818,0.0014553922,0,0.00042444823,0,0.00055164803
		shape	20	0.00034983383,0,0.00044702727,0.0007276961,0.0009447331,0.00028296548,0.0012676949,0
		small	20	0.00069966767,0,0.00044702727,0.00014553922,0.00047236655,0.00056593097,0,0.0011032961
		tom	20	0,0,0,0.002619706,0,0.00014148274,0,0.00013791201
		attributed	19	0.0012244184,0,0,0.00014553922,0.0007085498,0.00056593097,0.00042256498,0.00027582402
		clear	19	0,0.0033707866,0.00089405454,0,0.00047236655,0.00014148274,0.00063384743,0.0011032961
		closer	19	0,0,0.0013410818,0.00043661767,0,0.00014148274,0,0.0016549441
		course	19	0,0,0.0013410818,0.00043661767,0.0007085498,0.00014148274,0.00063384743,0.0008274721
		general	19	0.00069966767,0,0,0.0010187746,0,0.00028296548,0,0.0008274721
		generally	19	0,0,0.00044702727,0,0,0,0,0.002482416
		going	19	0.00034983383,0.0011235955,0.00089405454,0.00014553922,0.0016532829,0.00028296548,0.00042256498,0.00027582402
		kind	19	0.00052475074,0,0,0.00043661767,0.0009447331,0.00014148274,0,0.0011032961
		members	19	0.0008745846,0,0,0.0005821569,0.0007085498,0.00042444823,0.00021128249,0.00041373604
		phenomenon	19	0.0008745846,0,0,0.0010187746,0.00023618327,0,0.0012676949,0
		site	19	0.00069966767,0,0,0.00087323535,0.00047236655,0.00056593097,0.00042256498,0.00013791201
		account	18	0.0013993353,0.002247191,0,0,0.00023618327,0.00042444823,0.00063384743,0.00013791201
		albuquerque	18	0,0,0,0,0.004251299,0,0,0
		ascend	18	0,0,0,0,0,0,0,0.002482416
		asked	18	0.00052475074,0.006741573,0.00044702727,0.00087323535,0,0.00014148274,0.00021128249,0
		bigfoot	18	0,0,0,0,0.004251299,0,0,0
		disappeared	18	0.00034983383,0,0.0017881091,0,0,0.00042444823,0.00042256498,0.00096538407
		encounter	18	0.00052475074,0,0,0.00014553922,0,0.00056593097,0.00084512995,0.0008274721
		family	18	0.00017491692,0,0.00089405454,0.00043661767,0,0.00056593097,0.0016902599,0
		felt	18	0.00017491692,0.0011235955,0.00044702727,0.00014553922,0.0011809164,0,0,0.001241208
		good	18	0.00052475074,0.0011235955,0,0.00043661767,0.0007085498,0.0007074137,0,0.00041373604
		happened	18	0.00034983383,0.0033707866,0.00089405454,0.00014553922,0,0.0007074137,0.00063384743,0.00027582402
		khoury	18	0,0,0,0,0,0,0,0.002482416
		officer	18	0,0.004494382,0.00089405454,0.00043661767,0.0016532829,0.00028296548,0,0
		phoenix	18	0,0,0,0,0,0,0.0038030848,0
		possible	18	0,0.0011235955,0.00089405454,0.0005821569,0.00047236655,0.00028296548,0.0012676949,0.00013791201
		road	18	0,0,0,0.0005821569,0,0,0.0016902599,0.0008274721
		say	18	0.00034983383,0,0.0017881091,0.00029107844,0.0014170996,0.00028296548,0.00021128249,0.00013791201
		sound	18	0,0.0011235955,0.0017881091,0.0005821569,0.0007085498,0.00056593097,0.00042256498,0
		speed	18	0.00017491692,0,0,0.0005821569,0.0007085498,0.00014148274,0.0012676949,0.00041373604
		suspended	18	0,0,0,0,0,0,0,0.002482416
		uh	18	0,0,0,0,0.004251299,0,0,0
		added	17	0.00017491692,0,0,0,0,0,0.00042256498,0.0019307681
		became	17	0.00017491692,0,0.00044702727,0,0,0.00042444823,0,0.0016549441
		cactus	17	0,0,0,0,0.0040151156,0,0,0
		far	17	0.0010495015,0,0,0.00029107844,0.0007085498,0.00028296548,0,0.00055164803
		having	17	0.00052475074,0.0011235955,0.00089405454,0.00014553922,0.0007085498,0.00028296548,0.00063384743,0.00027582402
		immediately	17	0.00069966767,0.0011235955,0.00044702727,0,0.00047236655,0.00056593097,0.00042256498,0.00041373604
		large	17	0.00034983383,0.0011235955,0.00044702727,0.00014553922,0.00047236655,0.0011318619,0.00042256498,0
		october	17	0.00069966767,0.0011235955,0,0.00043661767,0,0.00084889645,0,0.00041373604
		public	17	0.00034983383,0,0.00044702727,0.0010187746,0,0.00084889645,0.00021128249,0
		quickly	17	0.00017491692,0.0011235955,0,0.00014553922,0.00047236655,0,0,0.0016549441
		ship	17	0.00017491692,0.007865168,0,0,0,0,0.0019015424,0
		state	17	0.00017491692,0,0.00044702727,0.00014553922,0,0.0007074137,0.00063384743,0.0008274721
		witness	17	0.00017491692,0,0,0.00087323535,0,0.00084889645,0.00063384743,0.00013791201
		alleged	16	0.0013993353,0,0.00044702727,0.00014553922,0,0.0007074137,0.00021128249,0
		article	16	0.0008745846,0,0,0.00029107844,0.00023618327,0.0007074137,0.00042256498,0.00013791201
		base	16	0,0,0.0017881091,0.00029107844,0.00047236655,0.00028296548,0.00084512995,0.00027582402
		called	16	0,0.002247191,0,0.00087323535,0,0.00028296548,0.00084512995,0.00027582402
