&#160;	&#160;	Term	Count	Trend
		ufo	86	0.0075787795,0.010650887,0.009915014,0.00393864,0.0052083335,0.00794702
		object	64	0,0.008284024,0,0.0012437811,0.012276785,0.00794702
		crash	55	0.012365377,0,0.011331445,0.0020729685,0.002232143,0
		like	45	0.002792182,0.00591716,0.0014164306,0.0051824213,0.0014880953,0.0013245033
		said	44	0.010370961,0.002366864,0,0.0016583748,0.0026041667,0.0004415011
		flying	41	0.00079776626,0.00591716,0.0014164306,0.0051824213,0.0014880953,0.0017660044
		saw	37	0.002792182,0.001183432,0,0.0022802653,0.002232143,0.0052980133
		1949	36	0,0,0,0,0,0.01589404
		time	34	0.0011966494,0.003550296,0.004249292,0.0024875621,0.0026041667,0.0026490067
		air	33	0.00039888313,0.003550296,0.0014164306,0.00393864,0.0033482143,0
		light	32	0,0.001183432,0,0.0012437811,0.0055803573,0.004415011
		story	32	0.0051854807,0,0.007082153,0.0022802653,0.0011160715,0
		texas	32	0.00039888313,0,0,0.00020729685,0.00074404763,0.012362031
		army	30	0.00039888313,0.001183432,0,0.001451078,0,0.009271523
		hood	30	0,0,0,0,0,0.013245033
		p.m	29	0,0,0,0,0.00074404763,0.011920529
		base	28	0.00039888313,0,0,0.00062189053,0.00074404763,0.009713024
		case	28	0.0023932988,0,0.008498584,0.0012437811,0.00074404763,0.0035320087
		ft	28	0,0,0,0.0004145937,0,0.0114790285
		camp	26	0,0,0,0,0,0.0114790285
		plane	26	0.00079776626,0,0,0.0022802653,0.0048363097,0
		seen	25	0.0019944157,0.002366864,0.0014164306,0.0016583748,0.0014880953,0.0022075055
		white	24	0,0,0,0.001451078,0.00037202382,0.0070640175
		just	23	0.0019944157,0.003550296,0.0014164306,0.0020729685,0.0014880953,0
		roswell	23	0.0015955325,0.001183432,0,0.0035240464,0.00037202382,0
		event	21	0.00039888313,0.00591716,0,0.002694859,0.00074404763,0
		mac	21	0,0,0,0.0043532336,0,0
		military	21	0.0043877144,0.002366864,0.0014164306,0.0004145937,0.00074404763,0.0013245033
		reported	21	0.00079776626,0.001183432,0.0028328612,0.0016583748,0.0014880953,0.0017660044
		aircraft	20	0.00079776626,0.001183432,0,0.002694859,0.0014880953,0
		bbu	20	0,0,0,0,0,0.008830022
		craft	20	0.00079776626,0.001183432,0.0028328612,0.0016583748,0.0026041667,0
		foia	20	0,0,0,0,0,0.008830022
		killeen	20	0,0,0,0,0,0.008830022
		told	20	0.0043877144,0.001183432,0.0014164306,0.0012437811,0.00037202382,0
		1947	18	0.00039888313,0.001183432,0,0.0033167496,0,0
		force	18	0,0.001183432,0.0014164306,0.0022802653,0.001860119,0
		away	17	0,0.002366864,0,0.0004145937,0,0.0057395143
		later	17	0.00079776626,0,0,0.0018656716,0.001860119,0.0004415011
		sighting	17	0,0.001183432,0,0.0016583748,0.001860119,0.0013245033
		witnesses	17	0.00079776626,0,0,0.0008291874,0.0014880953,0.0030905078
		day	16	0,0.002366864,0,0.0016583748,0.0014880953,0.0008830022
		field	16	0.00079776626,0,0,0.0012437811,0.001860119,0.0013245033
		flight	16	0,0,0,0.0010364843,0.0011160715,0.0035320087
		ground	16	0.00039888313,0,0,0.00020729685,0.002232143,0.0035320087
		men	16	0.0019944157,0,0,0.001451078,0,0.0017660044
		debris	15	0,0,0,0.0031094528,0,0
		july	15	0.00039888313,0.001183432,0,0.0024875621,0.00037202382,0
		mann	15	0.005983247,0,0,0,0,0
		miles	15	0.00039888313,0,0,0.0010364843,0,0.00397351
		observation	15	0,0,0,0,0,0.0066225166
		westwood	15	0.005983247,0,0,0,0,0
		1941	14	0.005584364,0,0,0,0,0
		area	14	0.0015955325,0.003550296,0.0014164306,0.0010364843,0.00037202382,0
		feet	14	0.00079776626,0,0,0.0004145937,0.003720238,0
		reports	14	0.0023932988,0.002366864,0.0014164306,0.0008291874,0.00037202382,0
		shaped	14	0.00079776626,0,0.0014164306,0.0004145937,0.0011160715,0.0026490067
		sightings	14	0.00079776626,0,0,0.00020729685,0,0.004856512
		strange	14	0.00039888313,0,0,0.0010364843,0.001860119,0.0013245033
		large	13	0.00079776626,0.003550296,0,0.0004145937,0.0014880953,0.0008830022
		long	13	0.0015955325,0.001183432,0,0.0010364843,0.00074404763,0.0004415011
		looked	13	0.00079776626,0,0,0.0018656716,0.00037202382,0.0004415011
		moving	13	0,0.001183432,0,0.0004145937,0.001860119,0.0022075055
		near	13	0.0015955325,0,0.0028328612,0.00062189053,0.0014880953,0
		new	13	0.00039888313,0,0.0014164306,0.0020729685,0.00037202382,0
		objects	13	0.00039888313,0.001183432,0,0.001451078,0.00037202382,0.0013245033
		people	13	0.0043877144,0,0.0014164306,0.00020729685,0,0
		report	13	0.0011966494,0,0,0.001451078,0.00074404763,0.0004415011
		saucer	13	0.00079776626,0,0,0.0020729685,0.00037202382,0
		site	13	0.0011966494,0,0,0.00062189053,0.00037202382,0.0026490067
		account	12	0.0039888313,0,0,0.00020729685,0.00037202382,0
		afosi	12	0,0,0,0,0,0.0052980133
		appeared	12	0.00079776626,0.002366864,0.0014164306,0.0004145937,0.001860119,0
		began	12	0.00079776626,0.001183432,0,0.0016583748,0,0.0004415011
		jan	12	0,0,0,0,0,0.0052980133
		los	12	0,0.007100592,0.0014164306,0.00020729685,0,0.0017660044
		material	12	0,0,0,0.0020729685,0.00074404763,0
		red	12	0.00079776626,0,0,0,0.00074404763,0.0035320087
		spitzbergen	12	0,0,0.016997168,0,0,0
		crashed	11	0.0011966494,0,0.0028328612,0.0010364843,0.00037202382,0
		gorman	11	0,0,0,0,0.004092262,0
		incident	11	0.0019944157,0,0,0.0004145937,0.00074404763,0.0008830022
		man	11	0.0011966494,0,0,0.0016583748,0,0
		night	11	0.0011966494,0.002366864,0,0.00062189053,0.00074404763,0.0004415011
		source	11	0.0011966494,0,0.0014164306,0.0010364843,0,0.0008830022
		speed	11	0,0,0,0.00062189053,0.0026041667,0.0004415011
		suddenly	11	0,0,0,0.00020729685,0.0014880953,0.0026490067
		thought	11	0.00039888313,0.001183432,0,0.0012437811,0.0011160715,0
		turn	11	0,0.001183432,0,0.00062189053,0.0026041667,0
		weather	11	0,0,0,0.001451078,0.00037202382,0.0013245033
		bodies	10	0.0019944157,0,0,0.00062189053,0.00074404763,0
		charlette	10	0.0039888313,0,0,0,0,0
		city	10	0.00039888313,0.002366864,0.0014164306,0.00020729685,0.0011160715,0.0008830022
		different	10	0.00039888313,0,0,0.00062189053,0.00074404763,0.0017660044
		june	10	0,0,0.0014164306,0.0010364843,0,0.0017660044
		looking	10	0.003191065,0,0,0,0.00074404763,0
		marcel	10	0,0,0,0.0020729685,0,0
		march	10	0,0,0,0,0,0.004415011
		officer	10	0,0,0,0.0020729685,0,0
		pilot	10	0.00039888313,0,0,0.0010364843,0.0014880953,0
		pilots	10	0,0,0,0.0004145937,0.0029761905,0
		project	10	0.00039888313,0,0,0.0004145937,0.00074404763,0.0022075055
		saucers	10	0,0.001183432,0,0.0016583748,0.00037202382,0
		scene	10	0.0039888313,0,0,0,0,0
		searchlight	10	0,0,0,0,0,0.004415011
		sighted	10	0,0.001183432,0,0.00020729685,0.00074404763,0.0026490067
		triangulation	10	0,0,0,0,0,0.004415011
		years	10	0.0011966494,0,0.0014164306,0.0010364843,0.00037202382,0
		dead	9	0.0015955325,0.001183432,0.0014164306,0.00020729685,0.00074404763,0
		described	9	0.00039888313,0.002366864,0,0.0008291874,0.00074404763,0
		died	9	0.0011966494,0,0.004249292,0.00062189053,0,0
		father	9	0.0011966494,0,0,0.0012437811,0,0
		given	9	0.0023932988,0,0.0014164306,0.0004145937,0,0
		grandfather	9	0.0035899482,0,0,0,0,0
		huffman	9	0.0035899482,0,0,0,0,0
		left	9	0.00039888313,0,0,0.0008291874,0.0014880953,0
		level	9	0,0,0,0.00020729685,0,0.0035320087
		little	9	0.00039888313,0,0,0.001451078,0.00037202382,0
		morning	9	0,0.001183432,0,0.00062189053,0.00074404763,0.0013245033
		norwood	9	0,0,0,0,0,0.00397351
		officers	9	0.0015955325,0,0,0.00062189053,0.00074404763,0
		police	9	0.0015955325,0,0.0014164306,0.00062189053,0,0.0004415011
		post	9	0,0,0,0.00020729685,0,0.0035320087
		sight	9	0.00039888313,0.003550296,0,0.00020729685,0.00074404763,0.0008830022
		small	9	0.0019944157,0,0,0.00062189053,0.00037202382,0
		took	9	0.00039888313,0.001183432,0,0.0010364843,0.00037202382,0.0004415011
		1948	8	0,0,0,0,0.0029761905,0
		a.m	8	0,0,0,0,0.00037202382,0.0030905078
		aldrich	8	0,0,0,0,0,0.0035320087
		alien	8	0.0019944157,0.001183432,0.0014164306,0,0.00037202382,0
		altitude	8	0,0,0,0.00020729685,0.00037202382,0.0026490067
		balloon	8	0,0,0,0.0012437811,0.00074404763,0
		balloons	8	0,0,0,0.0012437811,0.00037202382,0.0004415011
		became	8	0.00039888313,0,0,0.0012437811,0.00037202382,0
		brazel	8	0,0,0,0.0016583748,0,0
		cape	8	0.003191065,0,0,0,0,0
		color	8	0.00039888313,0.001183432,0,0,0,0.0026490067
		come	8	0.00039888313,0.001183432,0,0.00062189053,0.0011160715,0
		covered	8	0.0011966494,0,0.0028328612,0.0004145937,0.00037202382,0
		evidence	8	0.0011966494,0,0.0014164306,0.0004145937,0.00074404763,0
		girardeau	8	0.003191065,0,0,0,0,0
		happened	8	0.0019944157,0.001183432,0,0.00020729685,0.00037202382,0
		high	8	0,0,0,0.0008291874,0.0014880953,0
		home	8	0.0019944157,0,0,0.0004145937,0,0.0004415011
		metallic	8	0.00079776626,0,0,0.0004145937,0.00074404763,0.0008830022
		picture	8	0.0023932988,0.001183432,0,0.00020729685,0,0
		real	8	0.00039888313,0,0.0014164306,0.00020729685,0.00037202382,0.0017660044
		right	8	0,0.002366864,0,0.00020729685,0.001860119,0
		secs	8	0,0,0,0,0,0.0035320087
		showed	8	0.00079776626,0,0,0.0012437811,0,0
		sort	8	0.00079776626,0,0.0014164306,0.0010364843,0,0
		tower	8	0,0,0,0,0.0029761905,0
		ufos	8	0.0011966494,0,0.0014164306,0.0008291874,0,0
		1946	7	0,0,0.009915014,0,0,0
		angeles	7	0,0.00591716,0.0014164306,0.00020729685,0,0
		chiles	7	0,0,0,0,0.0026041667,0
		cincinnati	7	0,0,0,0,0,0.0030905078
		days	7	0.00079776626,0,0,0.00062189053,0,0.0008830022
		diameter	7	0,0,0,0.00020729685,0.00074404763,0.0017660044
		disappearing	7	0,0,0,0,0.00037202382,0.0026490067
		disc	7	0.00039888313,0.002366864,0.0028328612,0.00020729685,0.00037202382,0
		events	7	0,0.001183432,0.0028328612,0.0004145937,0,0.0008830022
		far	7	0.00039888313,0.001183432,0,0.0004145937,0.00037202382,0.0008830022
		kind	7	0.00079776626,0,0,0.0008291874,0.00037202382,0
		knew	7	0.00079776626,0,0,0.00062189053,0.00037202382,0.0004415011
		local	7	0.0015955325,0,0,0,0,0.0013245033
		lt	7	0,0,0,0,0.00037202382,0.0026490067
		mexico	7	0.00039888313,0,0,0.0010364843,0.00037202382,0
		mile	7	0.00039888313,0,0,0.0004145937,0,0.0017660044
		missouri	7	0.002792182,0,0,0,0,0
		nose	7	0,0,0,0.00062189053,0.0014880953,0
		ohio	7	0,0,0,0.0004145937,0.00074404763,0.0013245033
		orange	7	0,0.001183432,0,0,0.00074404763,0.0017660044
		passed	7	0,0,0,0.00062189053,0.0014880953,0
		patrol	7	0,0,0,0.00020729685,0,0.0026490067
		piece	7	0.00039888313,0,0,0.0010364843,0.00037202382,0
		security	7	0.0011966494,0.002366864,0,0,0,0.0008830022
